2016-09-16 14:30:51,653 /Users/rthosfelt/bin/python-rtmbot/plugins/channel_finder.py
2016-09-16 14:30:51,654 /Users/rthosfelt/bin/python-rtmbot/plugins/repeat.py
2016-09-16 14:30:51,655 []
2016-09-16 14:30:51,655 got process_hello
2016-09-16 14:30:51,655 []
2016-09-16 14:30:51,656 []
2016-09-16 14:30:51,760 got process_reconnect_url
2016-09-16 14:30:51,761 []
2016-09-16 14:30:51,761 []
2016-09-16 14:30:51,867 got process_pong
2016-09-16 14:30:51,867 []
2016-09-16 14:30:51,867 []
2016-09-16 14:30:53,306 got process_presence_change
2016-09-16 14:30:53,306 []
2016-09-16 14:30:53,306 []
2016-09-16 14:30:55,162 got process_pong
2016-09-16 14:30:55,162 []
2016-09-16 14:30:55,162 []
2016-09-16 14:30:59,184 got process_pong
2016-09-16 14:30:59,184 []
2016-09-16 14:30:59,184 []
2016-09-16 14:31:03,177 got process_pong
2016-09-16 14:31:03,178 []
2016-09-16 14:31:03,178 []
2016-09-16 14:31:07,174 got process_pong
2016-09-16 14:31:07,174 []
2016-09-16 14:31:07,174 []
2016-09-16 14:31:11,134 got process_pong
2016-09-16 14:31:11,134 []
2016-09-16 14:31:11,134 []
2016-09-16 14:31:57,986 Initialized in: /Users/rthosfelt/bin/python-rtmbot
2016-09-16 14:31:58,441 Starting new HTTPS connection (1): slack.com
2016-09-16 14:32:02,055 /Users/rthosfelt/bin/python-rtmbot/plugins/channel_finder.py
2016-09-16 14:32:02,056 /Users/rthosfelt/bin/python-rtmbot/plugins/repeat.py
2016-09-16 14:32:02,057 []
2016-09-16 14:32:02,058 got process_hello
2016-09-16 14:32:02,058 []
2016-09-16 14:32:02,058 []
2016-09-16 14:32:02,160 got process_reconnect_url
2016-09-16 14:32:02,160 []
2016-09-16 14:32:02,160 []
2016-09-16 14:32:02,262 got process_pong
2016-09-16 14:32:02,262 []
2016-09-16 14:32:02,262 []
2016-09-16 14:32:02,365 got process_user_typing
2016-09-16 14:32:02,365 []
2016-09-16 14:32:02,365 []
2016-09-16 14:32:02,469 got process_presence_change
2016-09-16 14:32:02,469 []
2016-09-16 14:32:02,470 []
2016-09-16 14:32:03,801 got process_message
2016-09-16 14:32:03,801 []
2016-09-16 14:32:03,802 []
2016-09-16 14:32:06,153 got process_pong
2016-09-16 14:32:06,153 []
2016-09-16 14:32:06,154 []
2016-09-16 14:32:10,145 got process_pong
2016-09-16 14:32:10,146 []
2016-09-16 14:32:10,146 []
2016-09-16 14:33:42,271 Initialized in: /Users/rthosfelt/bin/python-rtmbot
2016-09-16 14:33:42,323 Starting new HTTPS connection (1): slack.com
2016-09-16 14:33:43,746 /Users/rthosfelt/bin/python-rtmbot/plugins/channel_finder.py
2016-09-16 14:33:43,746 /Users/rthosfelt/bin/python-rtmbot/plugins/repeat.py
2016-09-16 14:33:43,747 []
2016-09-16 14:33:43,748 got process_hello
2016-09-16 14:33:43,748 []
2016-09-16 14:33:43,748 []
2016-09-16 14:33:43,851 got process_reconnect_url
2016-09-16 14:33:43,851 []
2016-09-16 14:33:43,851 []
2016-09-16 14:33:43,953 got process_presence_change
2016-09-16 14:33:43,954 []
2016-09-16 14:33:43,954 []
2016-09-16 14:33:44,055 got process_presence_change
2016-09-16 14:33:44,055 []
2016-09-16 14:33:44,056 []
2016-09-16 14:33:44,157 got process_pong
2016-09-16 14:33:44,157 []
2016-09-16 14:33:44,158 []
2016-09-16 14:33:45,909 got process_user_typing
2016-09-16 14:33:45,909 []
2016-09-16 14:33:45,909 []
2016-09-16 14:33:47,146 got process_pong
2016-09-16 14:33:47,146 []
2016-09-16 14:33:47,146 []
2016-09-16 14:33:49,084 got process_user_typing
2016-09-16 14:33:49,084 []
2016-09-16 14:33:49,084 []
2016-09-16 14:33:49,185 got process_message
2016-09-16 14:33:49,185 []
2016-09-16 14:33:49,185 []
2016-09-16 14:33:51,253 got process_pong
2016-09-16 14:33:51,254 []
2016-09-16 14:33:51,254 []
2016-09-16 14:33:55,107 got process_pong
2016-09-16 14:33:55,107 []
2016-09-16 14:33:55,108 []
2016-09-16 14:33:59,205 got process_pong
2016-09-16 14:33:59,205 []
2016-09-16 14:33:59,206 []
2016-09-16 14:34:03,193 got process_pong
2016-09-16 14:34:03,193 []
2016-09-16 14:34:03,194 []
2016-09-16 14:34:07,296 got process_pong
2016-09-16 14:34:07,298 []
2016-09-16 14:34:07,298 []
2016-09-16 14:34:11,183 got process_pong
2016-09-16 14:34:11,183 []
2016-09-16 14:34:11,184 []
2016-09-16 14:34:15,177 got process_pong
2016-09-16 14:34:15,178 []
2016-09-16 14:34:15,178 []
2016-09-16 14:34:19,274 got process_pong
2016-09-16 14:34:19,274 []
2016-09-16 14:34:19,274 []
2016-09-16 14:34:23,167 got process_pong
2016-09-16 14:34:23,167 []
2016-09-16 14:34:23,167 []
2016-09-16 14:34:27,158 got process_pong
2016-09-16 14:34:27,159 []
2016-09-16 14:34:27,159 []
2016-09-16 14:34:31,151 got process_pong
2016-09-16 14:34:31,151 []
2016-09-16 14:34:31,151 []
2016-09-16 14:34:31,255 got process_reconnect_url
2016-09-16 14:34:31,255 []
2016-09-16 14:34:31,255 []
2016-09-16 14:34:35,148 got process_pong
2016-09-16 14:34:35,149 []
2016-09-16 14:34:35,149 []
2016-09-16 14:34:39,138 got process_pong
2016-09-16 14:34:39,139 []
2016-09-16 14:34:39,139 []
2016-09-16 14:34:43,133 got process_pong
2016-09-16 14:34:43,133 []
2016-09-16 14:34:43,133 []
2016-09-16 14:34:47,106 got process_pong
2016-09-16 14:34:47,106 []
2016-09-16 14:34:47,106 []
2016-09-16 14:34:51,121 got process_pong
2016-09-16 14:34:51,121 []
2016-09-16 14:34:51,121 []
2016-09-16 14:34:55,220 got process_pong
2016-09-16 14:34:55,220 []
2016-09-16 14:34:55,220 []
2016-09-16 14:34:59,102 got process_pong
2016-09-16 14:34:59,102 []
2016-09-16 14:34:59,102 []
2016-09-16 14:35:03,104 got process_pong
2016-09-16 14:35:03,104 []
2016-09-16 14:35:03,104 []
2016-09-16 14:35:07,197 got process_pong
2016-09-16 14:35:07,197 []
2016-09-16 14:35:07,197 []
2016-09-16 14:35:11,189 got process_pong
2016-09-16 14:35:11,190 []
2016-09-16 14:35:11,190 []
2016-09-16 14:35:15,183 got process_pong
2016-09-16 14:35:15,183 []
2016-09-16 14:35:15,184 []
2016-09-16 14:35:19,176 got process_pong
2016-09-16 14:35:19,176 []
2016-09-16 14:35:19,177 []
2016-09-16 14:35:23,171 got process_pong
2016-09-16 14:35:23,172 []
2016-09-16 14:35:23,172 []
2016-09-16 14:35:27,161 got process_pong
2016-09-16 14:35:27,161 []
2016-09-16 14:35:27,161 []
2016-09-16 14:35:31,157 got process_pong
2016-09-16 14:35:31,157 []
2016-09-16 14:35:31,158 []
2016-09-16 14:35:35,152 got process_pong
2016-09-16 14:35:35,152 []
2016-09-16 14:35:35,152 []
2016-09-16 14:35:39,146 got process_pong
2016-09-16 14:35:39,146 []
2016-09-16 14:35:39,146 []
2016-09-16 14:35:43,139 got process_pong
2016-09-16 14:35:43,140 []
2016-09-16 14:35:43,140 []
2016-09-16 14:37:02,396 Initialized in: /Users/rthosfelt/bin/python-rtmbot
2016-09-16 14:37:02,934 Starting new HTTPS connection (1): slack.com
2016-09-16 14:37:03,692 /Users/rthosfelt/bin/python-rtmbot/plugins/channel_finder.py
2016-09-16 14:37:03,692 /Users/rthosfelt/bin/python-rtmbot/plugins/repeat.py
2016-09-16 14:37:03,693 []
2016-09-16 14:37:03,694 got process_hello
2016-09-16 14:37:03,694 []
2016-09-16 14:37:03,694 []
2016-09-16 14:37:03,796 got process_reconnect_url
2016-09-16 14:37:03,796 []
2016-09-16 14:37:03,797 []
2016-09-16 14:37:03,900 got process_pong
2016-09-16 14:37:03,900 []
2016-09-16 14:37:03,900 []
2016-09-16 14:37:04,420 got process_presence_change
2016-09-16 14:37:04,420 []
2016-09-16 14:37:04,420 []
2016-09-16 14:37:06,270 got process_user_typing
2016-09-16 14:37:06,271 []
2016-09-16 14:37:06,271 []
2016-09-16 14:37:07,203 got process_pong
2016-09-16 14:37:07,204 []
2016-09-16 14:37:07,204 []
2016-09-16 14:37:09,461 got process_user_typing
2016-09-16 14:37:09,461 []
2016-09-16 14:37:09,461 []
2016-09-16 14:37:10,591 got process_message
2016-09-16 14:37:10,591 []
2016-09-16 14:38:23,064 Initialized in: /Users/rthosfelt/bin/python-rtmbot
2016-09-16 14:38:23,090 Starting new HTTPS connection (1): slack.com
2016-09-16 14:38:23,876 /Users/rthosfelt/bin/python-rtmbot/plugins/channel_finder.py
2016-09-16 14:38:23,876 /Users/rthosfelt/bin/python-rtmbot/plugins/repeat.py
2016-09-16 14:38:23,878 []
2016-09-16 14:38:23,879 got process_hello
2016-09-16 14:38:23,879 []
2016-09-16 14:38:23,879 []
2016-09-16 14:38:23,984 got process_reconnect_url
2016-09-16 14:38:23,984 []
2016-09-16 14:38:23,984 []
2016-09-16 14:38:24,087 got process_pong
2016-09-16 14:38:24,088 []
2016-09-16 14:38:24,088 []
2016-09-16 14:38:25,737 got process_presence_change
2016-09-16 14:38:25,738 []
2016-09-16 14:38:25,738 []
2016-09-16 14:38:26,358 got process_user_typing
2016-09-16 14:38:26,358 []
2016-09-16 14:38:26,359 []
2016-09-16 14:38:27,184 got process_pong
2016-09-16 14:38:27,184 []
2016-09-16 14:38:27,185 []
2016-09-16 14:38:28,414 got process_message
2016-09-16 14:38:28,415 []
2016-09-16 14:38:49,186 Initialized in: /Users/rthosfelt/bin/python-rtmbot
2016-09-16 14:38:49,213 Starting new HTTPS connection (1): slack.com
2016-09-16 14:38:50,256 /Users/rthosfelt/bin/python-rtmbot/plugins/channel_finder.py
2016-09-16 14:38:50,257 /Users/rthosfelt/bin/python-rtmbot/plugins/repeat.py
2016-09-16 14:38:50,257 []
2016-09-16 14:38:50,360 got process_hello
2016-09-16 14:38:50,360 []
2016-09-16 14:38:50,361 []
2016-09-16 14:38:50,464 got process_reconnect_url
2016-09-16 14:38:50,464 []
2016-09-16 14:38:50,464 []
2016-09-16 14:38:50,566 got process_pong
2016-09-16 14:38:50,567 []
